epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.46896,1.59569,3.0223,1.74794,0.97297,0.39216,0.68885,0.42212,1.02625,33.8123,1.04315,0.0004287,0.0004287,0.0004287
2,7.21205,0.78596,1.51854,1.21565,0.71845,0.83984,0.93759,0.64307,0.83043,7.60928,1.0436,0.000887114,0.000887114,0.000887114
3,9.94669,0.805,1.19936,1.16038,0.26851,0.7449,0.33608,0.16152,1.84915,27.3763,2.05185,0.00132666,0.00132666,0.00132666
4,12.6356,0.84926,0.99011,1.18265,0.4807,0.77443,0.62458,0.3882,1.30062,7.21463,1.38863,0.00134412,0.00134412,0.00134412
5,15.3008,0.64007,0.72396,1.08747,0.35812,0.60913,0.3707,0.19721,2.2175,5.92859,1.9291,0.00131582,0.00131582,0.00131582
6,17.9931,0.51655,0.62607,1.03382,0.23851,0.37022,0.17902,0.02506,3.61164,4.83158,3.43783,0.00128753,0.00128753,0.00128753
7,20.6518,0.4479,0.52999,0.97984,0.78787,0.57176,0.48702,0.18232,2.28041,3.87399,2.5439,0.00125923,0.00125923,0.00125923
8,23.3341,0.42546,0.51738,0.98118,0.64336,0.69608,0.79149,0.4253,1.22282,1.95722,1.22683,0.00123094,0.00123094,0.00123094
9,26.0177,0.38974,0.46482,0.94607,0.75048,0.838,0.85703,0.62505,0.84431,1.14239,0.87139,0.00120265,0.00120265,0.00120265
10,28.7053,0.36416,0.43215,0.93223,0.82391,0.95098,0.92341,0.81623,0.5147,0.97739,0.7298,0.00117435,0.00117435,0.00117435
11,31.429,0.37476,0.424,0.91983,0.7077,0.95444,0.84657,0.67774,0.71843,1.23177,0.83636,0.00114606,0.00114606,0.00114606
12,34.1294,0.35344,0.39971,0.94201,0.83674,0.95087,0.89291,0.71563,0.79436,1.15477,0.91025,0.00111776,0.00111776,0.00111776
13,36.8174,0.34654,0.38402,0.90563,0.89379,0.97059,0.94965,0.86441,0.60258,0.75286,0.81054,0.00108947,0.00108947,0.00108947
14,39.5826,0.30556,0.36066,0.91615,0.93987,1,0.99481,0.94462,0.34901,0.43711,0.63361,0.00106118,0.00106118,0.00106118
15,42.33,0.29716,0.34757,0.91369,0.9972,1,0.995,0.95769,0.3407,0.35418,0.63891,0.00103288,0.00103288,0.00103288
16,45.0708,0.27578,0.33503,0.89219,0.99784,1,0.995,0.97189,0.34353,0.32974,0.62823,0.00100459,0.00100459,0.00100459
17,47.7841,0.25952,0.31672,0.89408,0.99769,1,0.995,0.98163,0.28733,0.23857,0.61506,0.000976293,0.000976293,0.000976293
18,50.5474,0.26802,0.32013,0.89747,0.99763,1,0.995,0.98111,0.27234,0.25936,0.60215,0.000947999,0.000947999,0.000947999
